No.Act,Descripción,No. serie,Marca,Modelo,Comentarios
UTQ17396,MICROMETRO VERNIER,SIN NUMERO,SIN MARCA,25mm 23 lb,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ17397,MICROMETRO VERNIER,SIN NUMERO,SIN MARCA,25mm 23 lb,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ17457,DUROMETRO BRINEL CON LENTE BRINELL MOD. N,SIN NUMERO,NEWAGE/AMETEK,NB 3010,C/YUNQUE PLANO 4 1/8; YUNQUE DE V DE 3"; INDETNADOR DE BOLA 10MM; BLOCK CALIBRACION
UTQ17581,SISTEMA DE UN INTERFEROMETRO CON ESPECTROMETRO,SIN NUMERO,NEWPORT,CON LASER MOD CCS200 Y LASER MOD R3,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ17679,OSCILOSCOPIO,C024134,TEKTRONIX,TBS1052BEDU,EDIFICIO: "CIC1" 4.0 PLANTA:BAJA ÓPTICA EDO.DEL BIEN:BUENO
UTQ17699,GABINETE,SIN NUMERO,NA,.85X.1.80 X.39 C/3 ENTREPAÑOS,EDIFICIO: "CIC1" 4.0 PLANTA:BAJA ÓPTICA EDO.DEL BIEN:BUENO
UTQ17714,SILLA,SIN NUMERO,N/A,EJECUTIVA,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO
UTQ17719,LAP TOP,1KXSN72,DELL,INSPIRION 14,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3EDO.DEL BIEN:BUENO
UTQ17722,M TSX 1D,SIN NUMERO,NEWPORT,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ17723,HIGH ENERGY PINHOLE,SIN NUMERO,NEWPORT,910A,EDIFICIO: "CIC1" 4.0 PLANTA:BAJA ÓPTICA EDO.DEL BIEN:BUENO
UTQ17744,MICROSCOPIO,D640249258LU003,LEICA,DM750M,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ17747,SISTEMA DE FISISORCION C/DEGASIFICADOR Y VACUUM,545,MICROMERITICS,GEMINI VII,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO
UTQ17748,CPU,DTVMXAL0026080199D9600,ACER,VX2640GMI62,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO 
UTQ17750,KIT P/FIBRA OPTICA CKINE FLEX,SIN NUMERO,GRADIUM,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ18139,CONTENEDOR CIROGENICO,SIN NUMERO,CRYO DIFFUSION,L2025,EDIFICIO: NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO
UTQ18140,REGULADOR,17910CLH,CONCOA,2121352-01-580,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO
UTQ18143,REGULADOR,17910CLG,CONCOA,2121352-,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO ÓPTICA EDO.DEL BIEN:BUENO
UTQ18164,MONITOR,JKH08G2,SIN MARCA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO ÓPTICA EDO.DEL BIEN:BUENO
UTQ18194,LAMPARA PARA CROMATOGRAFIA,SIN NUMERO,MERCK,SIN MODELO,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO EDO.DEL BIEN:BUENO
UTQ18195,SOFTWARE ORIGIN PRO 2017,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO ÓPTICA, EDO.DEL BIEN:BUENO
UTQ18196,SOFTWARE HEAT TRANSFER MODULO FOR COMSOL,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO ÓPTICA EDO.DEL BIEN:BUENO
UTQ18200,BAÑO ULTRASONICO,SIN NUMERO,SCANDIA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO ÓPTICA EDO.DEL BIEN:BUENO
UTQ18933,ESTANTE VITRINA MIXTO CON 5 ENTREPAÑOS DE 1.20X1.9,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO
UTQ18934,ESTANTE VITRINA MIXTO CON 5 ENTREPAÑOS DE 1.20X1.9,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ19006,Mueble guarda mochilas 1.20X1.20X.30ML,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ18941,Mesa estructural de laboratorio 1.20X.58X.90,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ18942,Mesa estructural de laboratorio 1.20X.58X.90,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ18943,Mesa estructural de laboratorio 1.20X.58X.90,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ18944,Mesa estructural de laboratorio 1.20X.58X.90,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
